Questions,Answers,Options
"In alphabet series, some alphabets are missing which are given in that order as one of the alternatives below it. Choose the correct alternative.adb _ ac _ da _ cddcb _ dbc _ cbda",cbbaa,"bccba, cbbaa, ccbba, bbcad"
"In following questions, three sequence of alphabets/numerals are provided which correspond to each other in some way. Find out alphabets/numerals that come in the blank places.Choose the correct option_ A D A C B _ _ B D C C 1 3 _ _ 1 2 4 2 _ _ _ _ a _ _ b _ _ c d ? ? ? ?",d-c-a-a,"a-c-d-d, a-d-c-c, c-a-d-d, d-c-a-a"
Scribble : Write : : Stammer : ?,Speak,"Walk,Play,Dance,Speak"
Breeze : Cyclone : : Drizzle : ?,Downpour,"Earthquake,Storm,Flood,Downpour"
"In following question, a number series is given with one term missing. Choose the correct alternative that will follow same pattern and fill in the blank spaces.1, 2, 3, 5, x, 13",8,"6,8,10,11"
"In following question, a number series is given with one term missing. Choose the correct alternative that will follow the same pattern and fill in the blank space.1, 3, 4, 8, 15, 27, x",50,"37,44,50,55"
"Find the Odd one out :Arrow , Axe , Knife , Dagger , Sword",Arrow,"Arrow,Axe,Knife,Dagger"
"Find odd one out :Brick , Heart , Bridge , Spade , Club",Brick,"Brick,Heart,Bridge,Spade"
Dilip is the brother of Rahul. Sujata is the sister of Atul. Rahul is the son of Sujata. How is Dilip related to Sujata ?,Son,"Son,Brother,Father,Nephew"
"In a family of six persons A, B, C, D, E and F, there are two married couples. (ii) D is the grandmother of A and mother of B.(iii) C is the wife of B and mother of F.(iv) F is the grand daughter of E.Which of the following is true ?",A is the brother of F,"A is the brother of F,A is the sister of F,D has two grandsons,None of these"
Arrange the following words in a meaningful sequence :1. Patient 2. Diagnosis 3.Bill 4. Doctor 5. Treatment,1-4-2-5-3,"1-4-2-3-5, 1-4-3-2-5, 1-4-2-5-3,  4-1-2-3-5"
Arrange the following words in a meaningful sequence :1. Index 2. Contents 3. Title 4. Chapters 5. Introduction,3-2-5-4-1,"3-2-5-4-1, 3-2-5-1-4, 3-2-1-4-5, 5-1-4-2-3"
Float : Sink :: Boat : ?,submarine,"ship,war,submarine,missile"
Water: Dam:: Trade: ?,Trade Policy,"Commerce,Economy,Goods,Trade Policy"
Gravity is related to pull in the same way as Magnetism is related to :,Attraction,"Repulsion,Separation,Attraction,Push"
12 is related to 36 in the same way 17 is related to ?,51,"34,51,63,68"
"1, 9, 25, 49, ?, 121. What will come at the place of question mark ?",81,"100,91,64,81"
"4, 7, 12, 19, 28, ?",39,"49,36,30,39"
"6, 11, 21, 36, 56, ?",81,"91,51,81,42"
Which one set of letters when sequentially placed at the gaps in the given letter series shall complete it ?a_bbc_aab_cca_bbcc ,acba,"bacb, acba, caba, abba"
"In a row of trees, a tree is 7th from left end and 14th from right end. How many trees are there in the row ?",20,"18,19,20,21"
Ramesh ranks 13th in the class of 33 students. There are 5 students below Suresh rankwise. How many students are there between Ramesh and Suresh ?,14,"12,14,15,16"
"If each of the digits in the number 92581473 is arranged in ascending order, what will be the difference between the digits which are fourth from the right and third from left in the new arrangement? The ascending order of the number is 123456789.",3,"1,2,3,4"
"How many such pairs of letters are there in the word SENDING, each of which has as many letters between its two letters as there are between them in the English alphabets?",three,"No such letters,one,two,three"
"A Parking lot Contains 160 Vehicles. Each Vehicle is either a car or a truck, and each vehicle is either red or green. 70 vehicles are red, and 120 vehicles are cars. If there are 18 green trucks, how many red cars are there?",48,"54,50,48,45"
"A man is 24 years, older than his son. In two years, his age will be twice the age of his son. The present age of his son is ?",22 years,"14 years,20 years,22 years,18 years"
M scores more run than N but less than P. Q scores more than N but less than M. Who is the lowest scorer?,N,"M,N,P,Q"
Harish sits on the right of Satish. Satish sits between Manish and Girish. Who sits farthest to the right?,Girish,"Satish,Girish,Harish,Manish"
B is twice as old as A but twice younger than F. C is half the age of A but is twice older than d. Who is the second oldest ?,B,"B,F,C,D"
Grass in lawn grows equally thick and in a uniform rate. It takes 24 days for 70 cows and 60 days for 30 cows to eat the whole of the grass. How many cows are needed to eat the grass in 96 days?,20 cows,"20 cows,22 cows,18 cows,16 cows"
